,hD,hE,lbda,hC,f,df,F,dF
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.05,0.00326500862735765,0.8160094656198442,0.0007578595315124987,2.0228524010204008,0.001878701213094081
2,0.0,0.0,0.1,0.023264116142083662,5.313072496036485,0.006789644993042833,13.17087841283675,0.016831238184008186
3,0.0,0.0,0.15,0.06947997858035344,10.898143243858868,0.0306064381257609,27.01602880397771,0.07587204494294553
4,0.0,0.0,0.2,0.14470161242339508,12.86805018688399,0.037907822660647794,31.899343468052386,0.09397186346153355
5,0.0,0.0,0.25,0.2463631225084786,12.843339737893018,0.03940370808570993,31.838087326821586,0.09768009915147108
6,0.0,0.0,0.3,0.36788242993990605,11.727123060305125,0.039870880553459595,29.071034147355657,0.09883819962443581
7,0.0,0.0,0.35,0.5,9.989641961984134,0.04006161894991026,24.76389316487156,0.09931103191313227
8,0.0,0.0,0.4,0.6321175700600941,7.975407221881291,0.04015751691793409,19.770691796624277,0.09954875885508953
9,0.01605224609374999,0.0,0.45,0.7536368774915213,6.015511500119025,0.040225112493321856,14.912194519874063,0.09971632538186706
10,0.10351562499999994,0.0,0.5,0.8552983875766048,4.380664534817734,0.04028297138138796,10.859479142916298,0.09985975507916349
11,0.27520751953125006,0.0,0.55,0.9305200214196473,3.17537574634205,0.040327106911384525,7.871620028023554,0.09996916516150371
12,0.4999999999999998,0.0,0.6,0.9767358838579171,2.456791407115377,0.04035839829499364,6.090280328935406,0.1000467351568675
13,0.72479248046875,0.016052246093750038,0.65,0.9967349913726423,2.189833236193625,0.04037796668873254,5.428502494519132,0.10009524436408458
14,0.8964843749999999,0.10351562499999994,0.7,1.0,2.1285204737794245,0.040399094261523515,5.27651079112811,0.10014761870917321
15,0.9839477539062497,0.27520751953125006,0.75,1.0,1.6221746029529918,0.040501482970451363,4.021301135232782,0.10040143591892181
16,1.0,0.5000000000000002,0.8,1.0,-0.00202053699348248,0.04094994558400347,-0.005008824383565069,0.10151315546730066
17,1.0,0.72479248046875,0.85,1.0,-3.066111077784983,0.04191894069114334,-7.600757609816838,0.10391525269979536
18,1.0,0.8964843750000003,0.9,1.0,-6.755161834095162,0.04264061503692654,-16.745755914731962,0.10570425239235832
19,1.0,0.9839477539062497,0.95,1.0,-9.154482557203579,0.0428979450712579,-22.693568887552257,0.10634216248989188
20,1.0,1.0,1.0,1.0,-9.633382342864124,0.04294052703056589,-23.880740877690542,0.10644772133725267
