,hC,lbda,f,df,F,dF
0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.012137749999999996,0.05,2.9267778511890743,0.0031015480278615,7.255356528289727,0.007688604286316688
2,0.023877999999999993,0.1,5.430061293705975,0.006335633859808473,13.460888615204265,0.015705764093759123
3,0.03491849999999999,0.15,7.388358082959307,0.009663505751658504,18.315422206971597,0.023955415513676956
4,0.04519999999999998,0.2,8.812229072074649,0.012598094783287505,21.84513720468598,0.031230135622627733
5,0.054906249999999976,0.25,9.826252723774001,0.014755671114565128,24.35885826424917,0.03657867463595213
6,0.06446399999999998,0.3,10.57786939744563,0.01622279988066706,26.22208370101382,0.04021562380401239
7,0.07454299999999997,0.35,11.17773322170725,0.017258835967533113,27.709120344971335,0.04278391274447074
8,0.08605599999999997,0.4,11.691962952939775,0.018067210461379508,28.98387375204075,0.044787838378542534
9,0.11824999999999997,0.5,12.545475557694836,0.01943493486461153,31.099694823452552,0.04817836840249328
10,0.17320799999999997,0.6,13.020981107338775,0.020689874946628346,32.278452648357344,0.051289310940538665
11,0.26697999999999994,0.7,12.709255393538646,0.021700799430672667,31.50569799882469,0.05379534929665751
12,0.419504,0.8,11.097429926696892,0.022373626225300633,27.510051927305174,0.05546325800890534
13,0.6546059999999999,0.9,7.622236984066429,0.022796222716494854,18.89519795294678,0.05651085655143656
14,0.8116324999999998,0.95,4.984863944294153,0.022964035612875418,12.357263516319478,0.0569268575105771
15,1.0,1.0,1.6212652360399051,0.023138842960510494,4.019046853731098,0.05736019741382322
